type,id,position,destination,speed,availablepickedUp,delivered,strategy,totalTime
drone,18,[511.272339 269.747864 -220.526627],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,0.510000
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,0.520000
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,0.520000
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,0.520000
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,0.520000
drone,0,[488.001984 269.344391 -249.294662],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,14.819182
drone,3,[488.913727 269.396088 -207.521317],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,6.593937
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,1.009999
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,1.009999
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,1.009999
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,1.019999
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,1.019999
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,1.019999
drone,16,[482.211304 269.436584 -202.593826],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,1.019999
drone,17,[479.938965 269.442810 -204.143570],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,1.019999
drone,18,[524.252686 269.495728 -212.430252],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,1.019999
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,1.029999
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,1.029999
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,1.029999
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,1.029999
drone,0,[481.186523 268.910156 -262.986267],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,15.329194
drone,3,[482.702148 268.996094 -193.544876],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,7.103949
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,1.519999
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,1.519999
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,1.519999
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,1.529999
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,1.529999
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,1.529999
drone,16,[474.170959 269.154877 -189.579239],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,1.529999
drone,17,[470.762451 269.164948 -191.903290],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,1.529999
drone,18,[537.233032 269.243591 -204.333878],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,1.529999
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,1.539999
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,1.539999
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,1.539999
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,1.539999
drone,0,[474.371063 268.475922 -276.677887],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,15.839206
drone,3,[476.490570 268.596100 -179.568436],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,7.613960
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,2.029999
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,2.029999
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,2.029999
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,2.039999
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,2.039999
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,2.039999
drone,16,[466.130615 268.873169 -176.564651],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,2.039999
drone,17,[461.585938 268.887115 -179.663010],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,2.039999
drone,18,[550.213379 268.991455 -196.237503],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,2.039999
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,2.049999
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,2.049999
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,2.049999
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,2.049999
drone,0,[467.555603 268.041687 -290.369507],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,16.349216
drone,3,[470.278992 268.196106 -165.591995],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,8.123972
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,2.539998
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,2.539998
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,2.539998
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,2.549998
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,2.549998
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,2.549998
drone,16,[458.090271 268.591461 -163.550064],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,2.549998
drone,17,[452.409424 268.609283 -167.422729],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,2.549998
drone,18,[563.193726 268.739319 -188.141129],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,2.549998
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,2.559998
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,2.559998
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,2.559998
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,2.559998
drone,0,[460.740143 267.607452 -304.061127],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,16.859228
drone,3,[464.067413 267.796112 -151.615555],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,8.633984
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,3.049998
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,3.049998
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,3.049998
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,3.059998
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,3.059998
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,3.059998
drone,16,[450.049927 268.309753 -150.535477],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,3.059998
drone,17,[443.232910 268.331451 -155.182449],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,3.059998
drone,18,[576.174072 268.487183 -180.044754],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,3.059998
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,3.069998
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,3.069998
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,3.069998
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,3.069998
drone,0,[453.924683 267.173218 -317.752747],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,17.369240
drone,3,[457.855835 267.396118 -137.639114],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,9.143995
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,3.559997
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,3.559997
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,3.559997
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,3.569997
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,3.569997
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,3.569997
drone,16,[442.009583 268.028046 -137.520889],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,3.569997
drone,17,[434.056396 268.053619 -142.942169],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,3.569997
drone,18,[589.154419 268.235046 -171.948380],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,3.569997
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,3.579997
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,3.579997
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,3.579997
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,3.579997
drone,0,[447.109222 266.738983 -331.444366],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,17.879251
drone,3,[451.644257 266.996124 -123.662674],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,9.654007
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,4.069998
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,4.069998
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,4.069998
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,4.079998
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,4.079998
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,4.079998
drone,16,[433.969238 267.746338 -124.506409],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,4.079998
drone,17,[424.879883 267.775787 -130.701889],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,4.079998
drone,18,[602.134766 267.982910 -163.852005],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,4.079998
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,4.089999
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,4.089999
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,4.089999
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,4.089999
drone,0,[440.293762 266.304749 -345.135986],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,18.389263
drone,3,[445.432678 266.596130 -109.686234],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,10.164019
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,4.580010
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,4.580010
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,4.580010
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,4.590010
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,4.590010
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,4.590010
drone,16,[425.928894 267.464630 -111.492210],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,4.590010
drone,17,[415.703369 267.497986 -118.461914],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,4.590010
drone,18,[615.115112 267.730774 -155.755630],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,4.590010
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,4.600010
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,4.600010
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,4.600010
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,4.600010
drone,0,[433.478302 265.870514 -358.827606],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,18.899275
drone,3,[439.221100 266.196136 -95.709793],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,10.674030
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,5.090022
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,5.090022
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,5.090022
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,5.100022
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,5.100022
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,5.100022
drone,16,[417.888550 267.182922 -98.478012],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,5.100022
drone,17,[406.526855 267.220154 -106.222023],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,5.100022
drone,18,[628.095459 267.478638 -147.659256],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,5.100022
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,5.110022
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,5.110022
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,5.110022
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,5.110022
drone,0,[426.662842 265.436279 -372.519226],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,19.409286
drone,3,[433.009521 265.796143 -81.733353],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,11.184042
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,5.600033
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,5.600033
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,5.600033
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,5.610034
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,5.610034
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,5.610034
