type,id,position,destination,speed,availablepickedUp,delivered,strategy,totalTime
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,27.314627
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,27.829340
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,28.335176
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,28.842684
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,29.352695
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,29.854235
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,30.404694
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,30.906679
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,31.417131
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,31.920444
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,32.430065
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,32.938740
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,33.467030
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,33.975899
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,34.485779
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,34.990479
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,35.497742
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,36.007656
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,36.516548
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,37.020477
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,37.525356
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,38.027767
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,38.537682
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,39.045895
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,39.551960
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,40.061539
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,40.571453
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,41.071396
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,41.578777
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,42.125423
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,42.625877
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,43.139660
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,43.644993
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,44.154194
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,44.654564
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,45.221470
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,45.726109
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,46.231918
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,46.767845
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,47.285648
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,47.793102
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,48.293369
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,48.794785
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,49.295158
